TARGET_ID	INDIVIDUALS	STRATA	LAT	LONG	PLATE
CM225	CM225	SA	NA	NA	1
CM244	CM244	VIC	NA	NA	1
CM206	CM206	SA	NA	NA	1
CM082	CM082	ECSI	-45.376	171.13783	1
CM060	CM060	ECSI	-44.2085	171.57033	1
CM215	CM215	SA	NA	NA	1
CM083	CM083	ECSI	-45.376	171.13783	1
CM053	CM053	ECSI	-45.339	171.39267	1
CM156	CM156	WCSI	-42.39	170.42	1
CM066	CM066	ECSI	-45.23983	171.41	1
CM207	CM207	SA	NA	NA	1
CM204	CM204	SA	NA	NA	1
CM229	CM229	VIC	NA	NA	1
CM058	CM058	ECSI	-43.3515	172.765	1
CM239	CM239	VIC	NA	NA	1
CM069	CM069	ECSI	-45.23983	171.41	1
CM232	CM232	VIC	NA	NA	1
CM243	CM243	VIC	NA	NA	2
CM068	CM068	ECSI	-45.23983	171.41	2
CM054	CM054	ECSI	-44.28467	171.78983	2
CM152	CM152	WLG	-41.28	174.83	2
CM077	CM077	ECSI	-45.33083	171.4695	2
CM062	CM062	ECSI	-44.2085	171.57033	2
CM228	CM228	VIC	NA	NA	2
CM234	CM234	VIC	NA	NA	2
CM055	CM055	ECSI	-45.344	171.14817	2
CM224	CM224	SA	NA	NA	2
CM238	CM238	VIC	NA	NA	2
CM242	CM242	VIC	NA	NA	2
CM078	CM078	ECSI	-45.46067	171.10583	2
CM208	CM208	SA	NA	NA	2
CM159	CM159	WCSI	-42.39	170.42	2
CM222	CM222	SA	NA	NA	2
CM051	CM051	ECSI	-44.07867	172.0955	2
CM150	CM150	WLG	-41.28	174.83	3
CM081	CM081	ECSI	-45.376	171.13783	3
CM211	CM211	SA	NA	NA	3
CM064	CM064	ECSI	-44.7615	171.26483	3
CM220	CM220	SA	NA	NA	3
CM089	CM089	ECSI	-45.25467	171.4925	3
CM061	CM061	ECSI	-44.2085	171.57033	3
CM216	CM216	SA	NA	NA	3
CM236	CM236	VIC	NA	NA	3
CM212	CM212	SA	NA	NA	3
CM088	CM088	ECSI	-45.25467	171.4925	3
CM157	CM157	WCSI	-42.39	170.42	3
CM245	CM245	VIC	NA	NA	3
CM209	CM209	SA	NA	NA	3
CM072	CM072	ECSI	-43.89483	172.39567	3
CM230	CM230	VIC	NA	NA	3
CM074	CM074	ECSI	-44.3255	171.4075	3
CM233	CM233	VIC	NA	NA	3
CM070	CM070	ECSI	-44.1565	171.913	4
CM205	CM205	SA	NA	NA	4
CM223	CM223	SA	NA	NA	4
CM056	CM056	ECSI	-45.344	171.14817	4
CM231	CM231	VIC	NA	NA	4
CM203	CM203	SA	NA	NA	4
CM241	CM241	VIC	NA	NA	4
CM240	CM240	VIC	NA	NA	4
CM153	CM153	WCSI	-42.39	170.42	4
CM214	CM214	SA	NA	NA	4
CM0831	CM0831	NA	NA	NA	4
CM086	CM086	ECSI	-43.13767	173.086	4
CM210	CM210	SA	NA	NA	4
CM071	CM071	ECSI	-44.1565	171.913	4
CM201	CM201		NA	NA	4
CM065	CM065	ECSI	-44.7615	171.26483	4
CM052	CM052	ECSI	-44.07867	172.0955	4
CM084	CM084	ECSI	-43.13767	173.086	4
CM059	CM059	ECSI	-43.3515	172.765	4
CM151	CM151	WLG	-41.28	174.83	4
CM057	CM057	ECSI	-45.344	171.14817	4
CM155	CM155	WCSI	-42.39	170.42	4
CM226	CM226	SA	NA	NA	5
CM076	CM076	ECSI	-43.47683	172.8305	5
CM219	CM219	SA	NA	NA	5
CM085	CM085	ECSI	-43.13767	173.086	5
CM213	CM213	SA	NA	NA	5
CM154	CM154	WCSI	-42.39	170.42	5
CM237	CM237	VIC	NA	NA	5
CM080	CM080	ECSI	-45.46067	171.10583	5
CM158	CM158	WCSI	-42.39	170.42	5
CM073	CM073	ECSI	-43.89483	172.39567	5
CM217	CM217	SA	NA	NA	5
CM067	CM067	ECSI	-45.23983	171.41	5
CM160	CM160	WCSI	-42.39	170.42	5
CM235	CM235	VIC	NA	NA	5
CM227	CM227	VIC	NA	NA	5
CM063	CM063	ECSI	-44.7615	171.26483	5
CM218	CM218	SA	NA	NA	5
CM202	CM202	SA	NA	NA	5
CM221	CM221	SA	NA	NA	5
